,grid_index,avg,people,lon,lat
0,0,3130875.908849384,576.0884095999992,127.0048613999548,37.53384937138942
1,1,3103312.368974184,456.56520959999995,127.005992807094,37.53384936596976
2,2,3039481.0607513725,366.0852095999999,127.00712421423312,37.5338493605501
3,3,2988416.0141731235,311.7972095999999,127.00825562137214,37.53384935513043
4,4,2947563.976910524,279.22440959999994,127.0093870285111,37.53384934971076
5,5,2914882.347100444,259.68072959999995,127.01051843564997,37.5338493442911
6,6,2888737.0432523806,247.95452159999994,127.01164984278876,37.533849338871434
7,7,2867820.80017393,240.91879679999994,127.01278124992746,37.53384933345176
8,8,2798862.210307854,205.42056191999993,127.01391265706609,37.53384932803209
9,9,2743695.3384149936,184.12162099199992,127.01504406420463,37.53384932261243
10,10,2699561.840900705,171.34225643519994,127.01617547134309,37.53384931719277
11,11,2629985.8702295404,162.30689279999993,127.01730687848146,37.533849311773096
12,12,2608594.2663523424,158.25341951999994,127.01843828561977,37.533849306353424
13,13,2591480.9832505845,155.82133555199994,127.01956969275798,37.53384930093375
14,14,2617627.1726449705,155.34163722239992,127.02070109989612,37.53384929551408
15,15,2572823.870688292,153.80579635199993,127.02183250703416,37.5338492900944
16,16,2585272.8756494774,154.89418751999992,127.02296391417214,37.533849284674744
17,17,2080667.305480766,94.02490368000001,127.02409532131003,37.53384927925508
18,18,1676982.8493457981,57.50333337599993,127.02522672844783,37.533849273835415
19,19,62245.024805925954,2.7209779199999993,127.02635813558555,37.53384926841574
20,20,62245.024805925954,2.7209779199999993,127.0274895427232,37.533849262996085
21,21,62245.024805925954,2.7209779199999993,127.02862094986077,37.53384925757641
22,22,62245.024805925954,2.7209779199999993,127.02975235699824,37.53384925215674
23,23,62245.024805925954,2.7209779199999993,127.03088376413564,37.533849246737084
24,24,62245.024805925954,2.7209779199999993,127.03201517127295,37.53384924131743
25,25,62245.024805925954,2.7209779199999993,127.03314657841018,37.533849235897755
26,26,62245.024805925954,2.7209779199999993,127.03427798554733,37.53384923047808
27,27,62245.024805925954,2.7209779199999993,127.0354093926844,37.53384922505842
28,28,62245.024805925954,2.7209779199999993,127.03654079982138,37.53384921963875
29,29,62245.024805925954,2.7209779199999993,127.03767220695829,37.53384921421908
30,30,62245.024805925954,2.7209779199999993,127.03880361409512,37.5338492087994
31,31,62245.024805925954,2.7209779199999993,127.03993502123186,37.53384920337974
32,32,62245.024805925954,2.7209779199999993,127.04106642836851,37.533849197960066
33,33,49796.01984474077,1.6325867519999995,127.04219783550509,37.533849192540394
34,34,39836.815875792614,0.9795520511999997,127.04332924264159,37.53384918712072
35,35,0.0,0.0,127.044460649778,37.533849181701065
36,36,0.0,0.0,127.04559205691433,37.5338491762814
37,37,0.0,0.0,127.04672346405059,37.53384917086173
38,38,0.0,0.0,127.04785487118676,37.533849165442064
39,39,0.0,0.0,127.04898627832284,37.5338491600224
40,40,0.0,0.0,127.05011768545884,37.533849154602734
41,41,0.0,0.0,127.05124909259477,37.53384914918307
42,42,0.0,0.0,127.05238049973062,37.533849143763405
43,43,0.0,0.0,127.05351190686638,37.53384913834373
44,44,0.0,0.0,127.05464331400205,37.53384913292406
45,45,0.0,0.0,127.05577472113764,37.533849127504396
46,46,0.0,0.0,127.05690612827316,37.53384912208474
47,47,0.0,0.0,127.05803753540859,37.533849116665074
48,48,0.0,0.0,127.05916894254393,37.53384911124541
49,49,0.0,0.0,127.0603003496792,37.53384910582574
50,50,0.0,0.0,127.06143175681439,37.533849100406066
51,51,0.0,0.0,127.06256316394949,37.5338490949864
52,52,0.0,0.0,127.06369457108451,37.53384908956673
53,53,0.0,0.0,127.06482597821945,37.533849084147064
54,54,0.0,0.0,127.06595738535431,37.53384907872741
55,55,0.0,0.0,127.06708879248909,37.53384907330774
56,56,0.0,0.0,127.06822019962378,37.53384906788808
57,57,0.0,0.0,127.06935160675839,37.533849062468406
58,58,0.0,0.0,127.07048301389293,37.533849057048734
59,59,0.0,0.0,127.07161442102738,37.53384905162906
60,60,0.0,0.0,127.07274582816174,37.5338490462094
61,61,3051086.7735708696,425.2884095999999,127.0048613863439,37.532948370371486
62,62,3734069.3316850695,558.0140159999996,127.0059927798722,37.53294836495199
63,63,3735520.0177164013,519.6620159999999,127.00712417340041,37.53294835953249
64,64,3684454.9711381523,465.3740159999999,127.00825556692855,37.532948354112996
65,65,3643602.933875553,432.8012159999999,127.00938696045661,37.5329483486935
66,66,3610921.3040654734,413.2575359999999,127.01051835398458,37.53294834327401
67,67,3584776.0002174093,401.5313279999999,127.01164974751246,37.53294833785451
68,68,3498577.762884815,342.3676031999999,127.01278114104028,37.532948332435026
69,69,3429619.1730187396,306.86936831999986,127.01391253456801,37.53294832701554
70,70,3374452.301125879,285.5704273919999,127.01504392809565,37.53294832159605
71,71,3330318.8036115905,272.7910628351999,127.01617532162321,37.53294831617656
72,72,3260742.8329404257,263.75569919999987,127.01730671515068,37.532948310757064
73,73,3239351.2290632282,259.7022259199999,127.01843810867808,37.53294830533757
74,74,3222237.94596147,257.2701419519999,127.0195695022054,37.532948299918075
75,75,3248384.135355856,256.7904436223999,127.02070089573263,37.53294829449858
76,76,3203580.833399178,255.2546027519999,127.02183228925978,37.53294828907909
77,77,2585272.8756494774,154.89418751999992,127.02296368278685,37.53294828365959
78,78,2096228.5616822476,95.83888896,127.02409507631384,37.532948278240106
79,79,1692544.1055472796,59.31731865599993,127.02522646984075,37.53294827282061
80,80,77806.28100740744,4.534963199999999,127.02635786336756,37.532948267401125
81,81,77806.28100740744,4.534963199999999,127.02748925689431,37.53294826198162
